episode,step,action_id,action,level,x,y,vx,vy,score,reward,event,cause,lives,coins
1,110,13,JUMP+FIRE,1,4.26,12.17,0.0,0.3,10,0.0199,,,3,1
1,111,13,JUMP+FIRE,1,4.26,12.32,0.0,3.59,10,0.0234,,,3,1
1,112,17,RUN+RIGHT+JUMP+FIRE,1,4.3,12.61,0.8,6.92,10,0.0238,,,3,1
1,113,13,JUMP+FIRE,1,4.32,13.07,0.45,10.36,10,0.0226,,,3,1
1,114,17,RUN+RIGHT+JUMP+FIRE,1,4.37,13.69,1.29,13.84,10,0.0228,,,3,1
1,115,13,JUMP+FIRE,1,4.42,14.39,0.95,17.19,10,0.0218,,,3,1
1,116,13,JUMP+FIRE,1,4.45,15.1,0.63,17.19,10,0.0208,,,3,1
1,117,13,JUMP+FIRE,1,4.46,15.83,0.3,17.19,10,0.0208,,,3,1
1,118,13,JUMP+FIRE,1,4.47,15.65,0.0,-16.44,10,0.0172,,,3,1
1,119,9,RUN+LEFT+JUMP,1,4.44,15.0,-0.8,-14.91,10,0.0172,,,3,1
1,120,9,RUN+LEFT+JUMP,1,4.38,14.44,-1.57,-13.45,10,0.018,,,3,1
1,121,13,JUMP+FIRE,1,4.33,13.92,-1.24,-11.96,10,0.019,,,3,1
1,122,13,JUMP+FIRE,1,4.29,13.46,-0.91,-10.42,10,0.019,,,3,1
1,123,13,JUMP+FIRE,1,4.26,13.08,-0.58,-8.92,10,0.019,,,3,1
1,124,13,JUMP+FIRE,1,4.25,12.77,-0.25,-7.41,10,0.0199,,,3,1
1,125,13,JUMP+FIRE,1,4.25,12.52,0.0,-5.87,10,0.0199,,,3,1
1,126,13,JUMP+FIRE,1,4.25,12.33,0.0,-4.33,10,0.0199,,,3,1
1,127,13,JUMP+FIRE,1,4.25,12.21,0.0,-2.83,10,0.0199,,,3,1
1,128,13,JUMP+FIRE,1,4.25,12.16,0.0,-1.36,10,0.0199,,,3,1
1,129,13,JUMP+FIRE,1,4.25,12.16,0.0,0.18,10,0.0199,,,3,1
