step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
3112960,cpu,8,14.635195,14.615936,0.019259,44.643366,0.000000,1119.49
3129344,cpu,8,37.348674,37.328631,0.020043,45.045079,22.371712,438.68
3145728,cpu,8,14.912116,14.891341,0.020775,45.586716,0.000000,1098.70
3162112,cpu,8,14.847976,14.829506,0.018469,44.459043,0.000000,1103.45
3178496,cpu,8,14.491900,14.470874,0.021026,45.652274,0.000000,1130.56
3194880,cpu,8,16.275841,16.260324,0.015517,46.384172,0.000000,1006.65
3211264,cpu,8,98.256822,98.233672,0.023149,46.495980,83.214441,166.75
3227648,cpu,8,14.207301,14.189441,0.017860,47.066191,0.000000,1153.21
3244032,cpu,8,14.556789,14.539217,0.017572,49.474345,0.000000,1125.52
3260416,cpu,8,15.252326,15.229490,0.022837,49.236558,0.000000,1074.20
3276800,cpu,8,16.003638,15.977341,0.026297,46.533084,0.000000,1023.77
3293184,cpu,8,108.367542,108.348495,0.019047,47.017710,92.898884,151.19
3309568,cpu,8,15.160457,15.138809,0.021648,45.861303,0.000000,1080.71
3325952,cpu,8,20.706891,20.684678,0.022214,48.891359,0.000000,791.23
3342336,cpu,8,15.503663,15.485636,0.018026,49.846716,0.000000,1056.78
3358720,cpu,8,15.172668,15.152741,0.019928,47.295665,0.000000,1079.84
3375104,cpu,8,116.681595,116.661247,0.020348,46.582958,100.901886,140.42
3391488,cpu,8,15.905852,15.883934,0.021917,50.135367,0.000000,1030.06
3407872,cpu,8,15.429139,15.412567,0.016572,48.099101,0.000000,1061.89
3424256,cpu,8,17.883585,17.867267,0.016317,51.608502,0.000000,916.15
3440640,cpu,8,101.416922,101.396214,0.020708,51.442028,84.048639,161.55
3457024,cpu,8,16.211065,16.187606,0.023459,48.669705,0.000000,1010.67
3473408,cpu,8,16.137483,16.111054,0.026429,50.341332,0.000000,1015.28
3489792,cpu,8,14.999041,14.978259,0.020782,47.826486,0.000000,1092.34
3506176,cpu,8,14.762608,14.745057,0.017550,46.754418,0.000000,1109.83
3522560,cpu,8,106.580803,106.564190,0.016613,47.322722,91.871764,153.72
3538944,cpu,8,15.336178,15.313467,0.022711,47.763379,0.000000,1068.32
3555328,cpu,8,15.231911,15.214430,0.017481,52.795012,0.000000,1075.64
3571712,cpu,8,14.438047,14.420238,0.017809,47.351920,0.000000,1134.78
3588096,cpu,8,15.362631,15.340658,0.021973,47.628734,0.000000,1066.48
3604480,cpu,8,128.451880,128.428075,0.023805,51.125819,112.912863,127.55
3620864,cpu,8,15.091647,15.070688,0.020959,47.728674,0.000000,1085.63
3637248,cpu,8,14.866549,14.848076,0.018474,47.569344,0.000000,1102.07
3653632,cpu,8,16.877031,16.856474,0.020557,54.790733,0.000000,970.79
3670016,cpu,8,15.435298,15.415996,0.019303,55.669377,0.000000,1061.46
3686400,cpu,8,130.302775,130.276890,0.025885,46.430772,114.249945,125.74
3702784,cpu,8,15.389570,15.370376,0.019194,45.588630,0.000000,1064.62
3719168,cpu,8,15.607984,15.584924,0.023059,45.720406,0.000000,1049.72
3735552,cpu,8,15.718274,15.698093,0.020181,53.636302,0.000000,1042.35
3751936,cpu,8,15.600023,15.581011,0.019012,50.817004,0.000000,1050.25
3768320,cpu,8,59.915360,59.894111,0.021249,46.075060,44.561140,273.45
3784704,cpu,8,15.406477,15.390061,0.016416,45.990430,0.000000,1063.45
3801088,cpu,8,15.213890,15.196121,0.017768,46.987363,0.000000,1076.91
3817472,cpu,8,16.436553,16.418349,0.018204,47.858176,0.000000,996.80
3833856,cpu,8,15.629213,15.604963,0.024250,46.611469,0.000000,1048.29
3850240,cpu,8,34.398273,34.373282,0.024991,52.773373,18.019431,476.30
3866624,cpu,8,16.205302,16.182811,0.022491,48.929475,0.000000,1011.03
3883008,cpu,8,15.333215,15.308931,0.024284,46.288990,0.000000,1068.53
3899392,cpu,8,15.178535,15.158072,0.020463,46.378799,0.000000,1079.42
3915776,cpu,8,15.185447,15.165050,0.020397,46.909716,0.000000,1078.93
3932160,cpu,8,98.296526,98.277650,0.018876,48.028656,82.948067,166.68
3948544,cpu,8,15.521920,15.504758,0.017163,54.476756,0.000000,1055.54
3964928,cpu,8,15.631838,15.615151,0.016687,48.381613,0.000000,1048.12
3981312,cpu,8,16.584826,16.565955,0.018871,48.922563,0.000000,987.89
3997696,cpu,8,16.619215,16.592040,0.027175,50.299333,0.000000,985.85
4014080,cpu,8,57.986793,57.965029,0.021763,51.088616,42.726149,282.55
4030464,cpu,8,14.426680,14.410270,0.016411,48.893392,0.000000,1135.67
4046848,cpu,8,14.704177,14.688194,0.015982,49.110605,0.000000,1114.24
4063232,cpu,8,15.100377,15.084435,0.015942,53.891241,0.000000,1085.01
4079616,cpu,8,14.805654,14.785169,0.020484,53.047364,0.000000,1106.60
4096000,cpu,8,21.495339,21.471181,0.024158,47.275921,6.387852,762.21
4112384,cpu,8,15.596011,15.572000,0.024012,48.093885,0.000000,1050.53
4128768,cpu,8,15.650429,15.627366,0.023064,46.261110,0.000000,1046.87
4145152,cpu,8,15.256550,15.240032,0.016519,47.032522,0.000000,1073.90
4161536,cpu,8,112.765697,112.749098,0.016598,47.527792,97.521905,145.29
4177920,cpu,8,15.229626,15.207442,0.022184,47.435869,0.000000,1075.80
4194304,cpu,8,14.994138,14.978547,0.015591,49.531437,0.000000,1092.69
4210688,cpu,8,14.384797,14.364979,0.019818,49.389959,0.000000,1138.98
4227072,cpu,8,15.099976,15.077220,0.022757,48.698761,0.000000,1085.03
4243456,cpu,8,21.562606,21.543674,0.018931,47.932041,6.055541,759.83
4259840,cpu,8,15.643994,15.626038,0.017956,48.442727,0.000000,1047.30
4276224,cpu,8,14.121214,14.103743,0.017471,53.941854,0.000000,1160.24
4292608,cpu,8,14.213131,14.190174,0.022957,43.610091,0.000000,1152.74
4308992,cpu,8,13.679465,13.661884,0.017581,42.441536,0.000000,1197.71
4325376,cpu,8,20.354984,20.339794,0.015190,42.314615,6.593910,804.91
4341760,cpu,8,14.357719,14.334904,0.022815,42.331289,0.000000,1141.13
4358144,cpu,8,14.514287,14.497802,0.016485,48.804143,0.000000,1128.82
4374528,cpu,8,13.724003,13.705457,0.018546,43.496059,0.000000,1193.82
4390912,cpu,8,18.576221,18.554110,0.022111,46.352495,0.000000,881.99
4407296,cpu,8,25.018310,24.992931,0.025380,54.874836,8.792569,654.88
4423680,cpu,8,16.432908,16.414659,0.018249,60.655074,0.000000,997.02
4440064,cpu,8,16.915208,16.889103,0.026105,56.500211,0.000000,968.60
4456448,cpu,8,16.441893,16.425121,0.016772,52.790602,0.000000,996.48
4472832,cpu,8,16.112252,16.089846,0.022406,51.513610,0.000000,1016.87
4489216,cpu,8,143.548486,143.525221,0.023265,55.796328,128.385936,114.14
4505600,cpu,8,14.620429,14.600538,0.019890,45.549622,0.000000,1120.62
4521984,cpu,8,15.767018,15.741871,0.025148,52.060508,0.000000,1039.13
4538368,cpu,8,13.754596,13.739084,0.015512,43.556071,0.000000,1191.17
4554752,cpu,8,16.881657,16.860576,0.021081,49.978397,0.000000,970.52
4571136,cpu,8,71.087175,71.065162,0.022013,42.643211,55.571928,230.48
4587520,cpu,8,13.682829,13.659072,0.023757,41.685093,0.000000,1197.41
4603904,cpu,8,13.726867,13.711551,0.015316,42.603081,0.000000,1193.57
4620288,cpu,8,14.143762,14.121477,0.022285,40.419216,0.000000,1158.39
4636672,cpu,8,13.239325,13.218418,0.020908,46.749090,0.000000,1237.53
4653056,cpu,8,102.391588,102.370396,0.021192,45.332500,88.245642,160.01
4669440,cpu,8,13.634049,13.618745,0.015304,42.372376,0.000000,1201.70
4685824,cpu,8,14.619114,14.603128,0.015986,46.747224,0.000000,1120.72
4702208,cpu,8,14.046335,14.030315,0.016020,44.683706,0.000000,1166.43
4718592,cpu,8,14.379116,14.357757,0.021359,45.922526,0.000000,1139.43
4734976,cpu,8,117.607954,117.590658,0.017296,42.638685,104.080278,139.31
4751360,cpu,8,13.605744,13.585299,0.020446,40.963204,0.000000,1204.20
4767744,cpu,8,13.347318,13.332733,0.014586,41.103470,0.000000,1227.51
