step,total_reward,action,level,levels_completed,x,y,vx,vy,goal_dist,event,cause,gradient,coins,kills,win,time,death,grid_player_mean,grid_player_std,grid_player_min,grid_player_max,grid_solid_mean,grid_solid_std,grid_solid_min,grid_solid_max,grid_hazard_mean,grid_hazard_std,grid_hazard_min,grid_hazard_max,grid_collectible_mean,grid_collectible_std,grid_collectible_min,grid_collectible_max,scalar_mean,scalar_std,scalar_min,scalar_max,dijkstra_val,obs_warnings
152,-0.0025,LEFT+JUMP,0,0,4.578993055555553,12.636944444444445,2.421874999999998,7.860416666666669,31.600471833068873,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
156,-0.0025,RUN+LEFT,0,0,4.617187499999997,12.785312500000002,2.2916666666666643,8.902083333333335,31.547030543821595,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
160,-0.0025,LEFT,0,0,4.647569444444442,12.951041666666669,1.8229166666666643,9.943750000000001,31.500334103931923,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
164,0.65739816,JUMP,0,0,4.675781249999997,13.134131944444446,1.692708333333331,10.985416666666667,31.4550453824137,,,0.6578981876373291,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
168,-0.0025,RUN+RIGHT+JUMP,0,0,4.71440972222222,13.332048611111112,2.3177083333333313,11.875,31.39914208449743,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
172,-0.0025,JUMP,0,0,4.750868055555553,13.529965277777778,2.187499999999998,11.875,31.346599796633157,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
176,-0.0025,RIGHT+JUMP,0,0,4.795138888888886,13.727881944444444,2.656249999999998,11.875,31.28747157285351,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
180,-0.0025,RUN+RIGHT+JUMP,0,0,4.849826388888886,13.92579861111111,3.281249999999998,11.875,31.219154815658158,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
184,0.6573922,RUN+RIGHT,0,0,4.914930555555553,14.123715277777777,3.906249999999998,11.875,31.141643930993403,,,0.6578922271728516,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
188,-0.0025,RIGHT,0,0,4.98784722222222,14.321631944444443,4.374999999999998,11.875,31.057535949301247,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
192,1.9731827,LEFT+JUMP,0,0,5.052951388888887,14.519548611111109,3.9062499999999982,11.875,30.982439446456397,,,1.9736826419830322,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
196,-0.0025,RIGHT+JUMP,0,0,5.125868055555554,14.717465277777775,4.374999999999998,11.875,30.90075919191421,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
200,-0.0025,IDLE,0,0,5.196614583333331,14.91538194444444,4.244791666666665,11.875,30.822474745778443,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
204,0.65739816,LEFT,0,0,5.259548611111109,15.113298611111107,3.776041666666665,11.875,30.753237080764336,,,0.6578981876373291,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
208,-0.0025,LEFT+JUMP,0,0,5.314670138888887,15.311215277777773,3.307291666666665,11.875,30.693059363295216,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
212,-0.0025,IDLE,0,0,5.367621527777776,15.509131944444439,3.1770833333333317,11.875,30.636311173400568,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
216,-0.0025,RIGHT,0,0,5.428385416666665,15.707048611111105,3.6458333333333317,11.875,30.573018149147973,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
220,-0.0025,RUN+RIGHT+JUMP,0,0,5.4995659722222205,15.904965277777771,4.270833333333332,11.875,30.50058208430214,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
224,0.6573922,RUN+LEFT,0,0,5.5685763888888875,16.0,4.140624999999999,0.0,30.431423611111114,,,0.6578922271728516,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
228,-0.6603922,JUMP,0,0,5.626302083333332,15.7215625,3.4635416666666656,-16.70625,30.374974116438803,,,-0.6598922271728516,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
232,-0.0025,LEFT,0,0,5.676215277777777,15.453541666666666,2.9947916666666656,-16.08125,30.32870812596124,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
236,-0.0025,LEFT,0,0,5.718315972222221,15.1959375,2.5260416666666656,-15.45625,30.292357188935927,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
240,-0.6603982,RUN+RIGHT,0,0,5.770833333333332,14.948749999999999,3.1510416666666656,-14.83125,30.247440287131923,,,-0.6598981876373291,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
244,-0.0025,LEFT+JUMP,0,0,5.815538194444443,14.710729166666665,2.6822916666666656,-14.28125,30.21198361201605,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
248,-0.0025,RIGHT+JUMP,0,0,5.868055555555554,14.481874999999999,3.1510416666666656,-13.73125,30.170163730392836,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
252,-0.0025,LEFT+JUMP,0,0,5.912760416666664,14.2621875,2.6822916666666656,-13.181249999999999,30.137385056272823,,,-0.002,0.0,0.0,0.0,-0.0005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
