step,device,n_envs,rollout_wall_s,env_step_s,policy_forward_s,train_s,eval_s,sps
1785856,cpu,8,10.634549,10.619282,0.015266,12.357025,0.000000,1540.64
1802240,cpu,8,10.768382,10.754874,0.013509,12.240383,0.000000,1521.49
1818624,cpu,8,10.828880,10.809773,0.019107,12.605863,0.000000,1512.99
1835008,cpu,8,10.696949,10.682560,0.014389,12.273139,0.000000,1531.65
1851392,cpu,8,71.467826,71.447121,0.020705,12.286289,60.783135,229.25
1867776,cpu,8,10.739521,10.725817,0.013704,12.207548,0.000000,1525.58
1884160,cpu,8,10.817244,10.798143,0.019101,12.325063,0.000000,1514.62
1900544,cpu,8,10.617968,10.596580,0.021389,12.329968,0.000000,1543.04
1916928,cpu,8,10.856948,10.842602,0.014346,12.325456,0.000000,1509.08
1933312,cpu,8,40.377880,40.364042,0.013838,12.330583,29.632324,405.77
1949696,cpu,8,11.027503,11.009515,0.017988,12.652354,0.000000,1485.74
1966080,cpu,8,10.751087,10.733321,0.017766,12.267759,0.000000,1523.94
1982464,cpu,8,11.079461,11.058003,0.021458,12.223996,0.000000,1478.77
1998848,cpu,8,11.139476,11.117936,0.021540,12.258854,0.000000,1470.81
2015232,cpu,8,40.799232,40.785328,0.013904,12.104099,29.917818,401.58
2031616,cpu,8,10.759954,10.745287,0.014667,12.206937,0.000000,1522.68
2048000,cpu,8,10.970660,10.955574,0.015087,12.964253,0.000000,1493.44
2064384,cpu,8,11.398515,11.384583,0.013932,12.171926,0.000000,1437.38
2080768,cpu,8,43.253342,43.239191,0.014151,12.246991,32.406309,378.79
2097152,cpu,8,10.692731,10.678932,0.013799,12.216922,0.000000,1532.26
2113536,cpu,8,11.079041,11.061938,0.017102,12.318857,0.000000,1478.83
2129920,cpu,8,10.933594,10.919872,0.013723,12.199338,0.000000,1498.50
2146304,cpu,8,11.010886,10.997086,0.013800,12.229874,0.000000,1487.98
2162688,cpu,8,57.158128,57.144506,0.013622,12.138037,46.584070,286.64
2179072,cpu,8,10.745003,10.731328,0.013676,12.231023,0.000000,1524.80
2195456,cpu,8,10.821483,10.807568,0.013915,12.233094,0.000000,1514.03
2211840,cpu,8,10.596950,10.583269,0.013681,12.270494,0.000000,1546.11
2228224,cpu,8,10.626776,10.607877,0.018899,12.053822,0.000000,1541.77
2244608,cpu,8,20.493854,20.476803,0.017051,12.333302,10.003012,799.46
2260992,cpu,8,10.861963,10.846950,0.015013,12.162383,0.000000,1508.38
2277376,cpu,8,10.682770,10.668914,0.013856,12.234088,0.000000,1533.68
2293760,cpu,8,10.814013,10.794763,0.019251,12.370322,0.000000,1515.07
2310144,cpu,8,10.749051,10.735336,0.013715,12.246900,0.000000,1524.23
2326528,cpu,8,22.647361,22.628833,0.018529,12.292210,12.209699,723.44
2342912,cpu,8,10.907627,10.889423,0.018204,12.289274,0.000000,1502.07
2359296,cpu,8,10.507769,10.493335,0.014434,12.526729,0.000000,1559.23
2375680,cpu,8,10.710988,10.695816,0.015172,12.300768,0.000000,1529.64
2392064,cpu,8,10.799182,10.785489,0.013693,12.551912,0.000000,1517.15
2408448,cpu,8,21.552142,21.536031,0.016111,12.184762,10.998934,760.20
2424832,cpu,8,11.057041,11.039844,0.017197,12.137831,0.000000,1481.77
2441216,cpu,8,10.761385,10.747226,0.014159,12.070097,0.000000,1522.48
2457600,cpu,8,10.471497,10.457823,0.013673,12.036245,0.000000,1564.63
2473984,cpu,8,11.705366,11.691649,0.013717,12.178813,0.000000,1399.70
2490368,cpu,8,52.940773,52.923539,0.017235,12.157887,41.881956,309.48
2506752,cpu,8,10.675265,10.660362,0.014903,12.266773,0.000000,1534.76
2523136,cpu,8,10.677451,10.663643,0.013808,12.134707,0.000000,1534.45
2539520,cpu,8,11.012987,10.996546,0.016441,12.153118,0.000000,1487.70
2555904,cpu,8,11.458435,11.440367,0.018068,13.340356,0.000000,1429.86
2572288,cpu,8,42.761759,42.740003,0.021756,13.434556,31.313082,383.15
2588672,cpu,8,11.488995,11.473941,0.015054,13.309210,0.000000,1426.06
